ROI,Feature,EffectSize,ROI_Name,Network
49,Spectral_Slope,0.18050971904429322,Schaefer2018_17Networks_LH_SomMotB_Aud_7,SomMotB
50,DFA,-0.3182015053296452,Schaefer2018_17Networks_LH_SomMotB_S2_3,SomMotB
50,HFD,-0.19357754533673457,Schaefer2018_17Networks_LH_SomMotB_S2_3,SomMotB
50,Spectral_Slope,0.37141591672542057,Schaefer2018_17Networks_LH_SomMotB_S2_3,SomMotB
51,DFA,-0.1742163267999405,Schaefer2018_17Networks_LH_SomMotB_S2_4,SomMotB
51,HFD,0.27509579525795463,Schaefer2018_17Networks_LH_SomMotB_S2_4,SomMotB
51,Spectral_Slope,-0.09638968350156014,Schaefer2018_17Networks_LH_SomMotB_S2_4,SomMotB
52,DFA,0.05743368236283441,Schaefer2018_17Networks_LH_SomMotB_S2_5,SomMotB
52,HFD,-0.31437777304806147,Schaefer2018_17Networks_LH_SomMotB_S2_5,SomMotB
52,Spectral_Slope,0.4794528901475045,Schaefer2018_17Networks_LH_SomMotB_S2_5,SomMotB
53,DFA,-0.3031939434507664,Schaefer2018_17Networks_LH_SomMotB_S2_6,SomMotB
53,HFD,0.3639431372854212,Schaefer2018_17Networks_LH_SomMotB_S2_6,SomMotB
53,Spectral_Slope,-0.2529493689143478,Schaefer2018_17Networks_LH_SomMotB_S2_6,SomMotB
54,DFA,-0.1586878572820813,Schaefer2018_17Networks_LH_SomMotB_Cent_1,SomMotB
54,HFD,0.03939274727137871,Schaefer2018_17Networks_LH_SomMotB_Cent_1,SomMotB
54,Spectral_Slope,-0.009450007172646428,Schaefer2018_17Networks_LH_SomMotB_Cent_1,SomMotB
55,DFA,-0.11864244380569323,Schaefer2018_17Networks_LH_SomMotB_Cent_2,SomMotB
55,HFD,0.004168994829217686,Schaefer2018_17Networks_LH_SomMotB_Cent_2,SomMotB
55,Spectral_Slope,0.222742584509031,Schaefer2018_17Networks_LH_SomMotB_Cent_2,SomMotB
56,DFA,-0.33058581753161503,Schaefer2018_17Networks_LH_SomMotB_Cent_3,SomMotB
56,HFD,-0.1917969610721853,Schaefer2018_17Networks_LH_SomMotB_Cent_3,SomMotB
56,Spectral_Slope,0.17553040738409223,Schaefer2018_17Networks_LH_SomMotB_Cent_3,SomMotB
57,DFA,-0.27315633367316444,Schaefer2018_17Networks_LH_SomMotB_Cent_4,SomMotB
57,HFD,0.008699562834580732,Schaefer2018_17Networks_LH_SomMotB_Cent_4,SomMotB
57,Spectral_Slope,-0.13137180375610344,Schaefer2018_17Networks_LH_SomMotB_Cent_4,SomMotB
58,DFA,-0.4583066604321594,Schaefer2018_17Networks_LH_SomMotB_Cent_5,SomMotB
58,HFD,0.20581919826778663,Schaefer2018_17Networks_LH_SomMotB_Cent_5,SomMotB
58,Spectral_Slope,-0.29214055348330314,Schaefer2018_17Networks_LH_SomMotB_Cent_5,SomMotB
59,DFA,-0.18655700592484675,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA
59,HFD,0.05391690840652923,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA
59,Spectral_Slope,0.025012485752911717,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA
60,DFA,0.0789944218934001,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_2,DorsAttnA
60,HFD,-0.04848039698754309,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_2,DorsAttnA
60,Spectral_Slope,0.2669820830723285,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_2,DorsAttnA
61,DFA,-0.15153943257677446,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_3,DorsAttnA
61,HFD,0.48174139715084324,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_3,DorsAttnA
61,Spectral_Slope,-0.5070332657717013,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_3,DorsAttnA
62,DFA,-0.1158048917481948,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_4,DorsAttnA
62,HFD,0.43422018436430004,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_4,DorsAttnA
62,Spectral_Slope,-0.476363519411873,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_4,DorsAttnA
63,DFA,-0.10298109987263655,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_1,DorsAttnA
63,HFD,0.06055840903646565,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_1,DorsAttnA
63,Spectral_Slope,-0.058265156001018115,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_1,DorsAttnA
64,DFA,-0.5356821320593141,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_2,DorsAttnA
64,HFD,0.41059381224706315,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_2,DorsAttnA
64,Spectral_Slope,-0.06870485799945734,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_2,DorsAttnA
65,DFA,-0.3769054531932215,Schaefer2018_17Networks_LH_DorsAttnA_SPL_2,DorsAttnA
65,HFD,0.08688872036554852,Schaefer2018_17Networks_LH_DorsAttnA_SPL_2,DorsAttnA
65,Spectral_Slope,-0.04521250415582389,Schaefer2018_17Networks_LH_DorsAttnA_SPL_2,DorsAttnA
66,DFA,-0.423620363490079,Schaefer2018_17Networks_LH_DorsAttnA_SPL_3,DorsAttnA
66,HFD,0.4176818231015648,Schaefer2018_17Networks_LH_DorsAttnA_SPL_3,DorsAttnA
66,Spectral_Slope,-0.15783472380073685,Schaefer2018_17Networks_LH_DorsAttnA_SPL_3,DorsAttnA
67,DFA,-0.6597564284228107,Schaefer2018_17Networks_LH_DorsAttnA_SPL_4,DorsAttnA
67,HFD,0.4413402154190826,Schaefer2018_17Networks_LH_DorsAttnA_SPL_4,DorsAttnA
67,Spectral_Slope,-0.3314236050231056,Schaefer2018_17Networks_LH_DorsAttnA_SPL_4,DorsAttnA
68,DFA,-0.5802196517307541,Schaefer2018_17Networks_LH_DorsAttnA_SPL_5,DorsAttnA
68,HFD,0.2832753495937705,Schaefer2018_17Networks_LH_DorsAttnA_SPL_5,DorsAttnA
68,Spectral_Slope,-0.14597682403268986,Schaefer2018_17Networks_LH_DorsAttnA_SPL_5,DorsAttnA
69,DFA,-0.4822133082244114,Schaefer2018_17Networks_LH_DorsAttnA_SPL_6,DorsAttnA
69,HFD,0.17632364224244151,Schaefer2018_17Networks_LH_DorsAttnA_SPL_6,DorsAttnA
69,Spectral_Slope,0.0820942864121898,Schaefer2018_17Networks_LH_DorsAttnA_SPL_6,DorsAttnA
70,DFA,-0.413822494812274,Schaefer2018_17Networks_LH_DorsAttnA_SPL_7,DorsAttnA
70,HFD,0.39811050498238754,Schaefer2018_17Networks_LH_DorsAttnA_SPL_7,DorsAttnA
70,Spectral_Slope,-0.4857360058410343,Schaefer2018_17Networks_LH_DorsAttnA_SPL_7,DorsAttnA
71,DFA,-0.3521660109276365,Schaefer2018_17Networks_LH_DorsAttnA_SPL_8,DorsAttnA
71,HFD,0.23817434115673158,Schaefer2018_17Networks_LH_DorsAttnA_SPL_8,DorsAttnA
71,Spectral_Slope,-0.011187928888394027,Schaefer2018_17Networks_LH_DorsAttnA_SPL_8,DorsAttnA
72,DFA,0.019246179361003517,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1,DorsAttnB
72,HFD,0.10680086577047744,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1,DorsAttnB
72,Spectral_Slope,0.24040191743151326,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1,DorsAttnB
73,DFA,-0.1846380863201967,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2,DorsAttnB
73,HFD,0.04494985243654017,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2,DorsAttnB
73,Spectral_Slope,-0.015923588297732074,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2,DorsAttnB
74,DFA,-0.14459400056816477,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3,DorsAttnB
74,HFD,0.03427929814948874,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3,DorsAttnB
74,Spectral_Slope,0.09014148166229558,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3,DorsAttnB
75,DFA,-0.16324921864297678,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4,DorsAttnB
75,HFD,0.163021266069154,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4,DorsAttnB
75,Spectral_Slope,-0.09426429039697114,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4,DorsAttnB
76,DFA,-0.4153850473482107,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5,DorsAttnB
76,HFD,0.39394684428451127,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5,DorsAttnB
76,Spectral_Slope,-0.27227288832124963,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5,DorsAttnB
77,DFA,-0.36281174951623196,Schaefer2018_17Networks_LH_DorsAttnB_PostC_6,DorsAttnB
77,HFD,0.25822934136716236,Schaefer2018_17Networks_LH_DorsAttnB_PostC_6,DorsAttnB
77,Spectral_Slope,-0.15886030183368546,Schaefer2018_17Networks_LH_DorsAttnB_PostC_6,DorsAttnB
78,DFA,-0.44482799813879154,Schaefer2018_17Networks_LH_DorsAttnB_PostC_7,DorsAttnB
78,HFD,0.1920748837449187,Schaefer2018_17Networks_LH_DorsAttnB_PostC_7,DorsAttnB
78,Spectral_Slope,-0.03293889200621821,Schaefer2018_17Networks_LH_DorsAttnB_PostC_7,DorsAttnB
79,DFA,-0.3075503673504016,Schaefer2018_17Networks_LH_DorsAttnB_PostC_8,DorsAttnB
79,HFD,0.054745266299415965,Schaefer2018_17Networks_LH_DorsAttnB_PostC_8,DorsAttnB
79,Spectral_Slope,0.02572431593407964,Schaefer2018_17Networks_LH_DorsAttnB_PostC_8,DorsAttnB
80,DFA,-0.19217546887505377,Schaefer2018_17Networks_LH_DorsAttnB_PostC_9,DorsAttnB
80,HFD,0.02182280153546921,Schaefer2018_17Networks_LH_DorsAttnB_PostC_9,DorsAttnB
80,Spectral_Slope,0.09179933470697917,Schaefer2018_17Networks_LH_DorsAttnB_PostC_9,DorsAttnB
81,DFA,-0.3436738467327593,Schaefer2018_17Networks_LH_DorsAttnB_FEF_1,DorsAttnB
81,HFD,0.19320955405706294,Schaefer2018_17Networks_LH_DorsAttnB_FEF_1,DorsAttnB
81,Spectral_Slope,-0.2409218311629611,Schaefer2018_17Networks_LH_DorsAttnB_FEF_1,DorsAttnB
82,DFA,-0.6309556145113132,Schaefer2018_17Networks_LH_DorsAttnB_FEF_2,DorsAttnB
